Code	Naam	GM_CODE	GM_NAAM	WATER	OAD	STED	AANT_INW	AANT_MAN	AANT_VROUW	P_00_14_JR	P_15_24_JR	P_25_44_JR	P_45_64_JR	P_65_EO_JR	P_ONGEHUWD	P_GEHUWD	P_GESCHEID	P_VERWEDUW	BEV_DICHTH	AANTAL_HH	P_EENP_HH	P_HH_Z_K	P_HH_M_K	GEM_HH_GR	P_WEST_AL	P_N_W_AL	P_MAROKKO	P_ANT_ARU	P_SURINAM	P_TURKIJE	P_OVER_NW	AUTO_TOT	AUTO_HH	AUTO_LAND	BEDR_AUTO	MOTOR_2W	OPP_TOT	OPP_LAND	OPP_WATER	P_00_04_JR	P_05_09_JR	P_10_14_JR	P_15_19_JR	P_20_24_JR	P_25_29_JR	P_30_34_JR	P_35_39_JR	P_40_44_JR	P_45_49_JR	P_50_54_JR	P_55_59_JR	P_60_65_JR	P_65_69_JR	P_70_74_JR	P_75_79_JR	P_80_84_JR	P_85_89_JR	P_90_94_JR	P_95_EO_JR
GM0040	Slochteren	GM0040	Slochteren	NEE	212	5	15535	7910	7625	18	10	24	32	16	44	46	6	5	103	6385	25	35	40	2.4	4	2	0	0	0	0	1	8405	1.3	56	1445	1210	15887	15103	783	5.2	6.2	6.9	6.2	4.2	3.9	4.8	6.3	8.7	9.2	8.1	7.3	7.3	5.7	3.7	2.6	1.9	1.2	0.6	0.1
GM0047	Veendam	GM0047	Veendam	NEE	887	4	27920	13810	14110	17	10	24	30	19	41	45	7	7	367	12395	31	34	35	2.2	5	7	0	0	1	3	2	13700	1.1	180	1710	1430	7868	7607	261	5.3	5.3	6.1	5.6	4.7	5.1	5.3	6.4	7.7	8.1	7.1	7.3	7.3	6.2	4.3	3.4	2.4	1.7	0.7	0.2
GM0048	Vlagtwedde	GM0048	Vlagtwedde	NEE	342	5	16260	8110	8150	16	10	21	32	22	39	47	6	8	97	7185	31	36	33	2.2	6	3	0	0	0	0	2	8625	1.2	51	1460	965	17055	16762	294	4.8	5.1	5.7	5.6	4.6	4.2	4.5	5.4	6.8	8.1	8	7.7	7.8	6.7	5.1	4.1	3.2	1.7	0.7	0.2
GM0050	Zeewolde	GM0050	Zeewolde	NEE	855	4	21290	10800	10490	23	13	26	28	10	46	45	7	3	86	8140	24	28	47	2.6	8	5	0	0	1	0	3	12545	1.5	50	2040	990	26886	24854	2032	6.1	8	8.8	7.8	5.3	4.9	5.3	6.6	9.2	10	8.2	5.6	4.4	3.4	2.4	2	1.4	0.5	0.2	0
GM0051	Skarsterlân	GM0051	Skarsterlân	NEE	572	4	27520	13795	13725	19	11	23	29	18	44	45	5	6	149	11305	28	34	38	2.4	4	2	0	0	0	0	1	13420	1.2	72	2540	1420	21680	18526	3154	5.3	6.6	6.9	6.4	5	4.6	4.9	6	7.6	7.8	7.2	7	6.9	5.9	4.2	3.2	2.2	1.5	0.5	0.2
GM0053	Winsum	GM0053	Winsum	NEE	405	5	13985	6955	7030	19	11	22	32	17	44	45	6	5	138	5845	30	32	38	2.4	4	2	0	0	0	0	1	6275	1.1	62	785	590	10253	10111	142	5.5	6.6	6.8	6.7	4.3	3.6	4.9	5.7	7.6	7.8	8.2	7.8	7.9	6.3	3.7	2.7	2	1.2	0.5	0.2
GM0055	Boarnsterhim	GM0055	Boarnsterhim	NEE	404	5	19380	9720	9660	20	10	24	30	16	45	43	6	5	128	8360	32	32	36	2.3	4	2	0	0	0	0	1	9625	1.2	64	1600	930	16858	15154	1704	5.8	6.9	6.9	5.6	4.3	4.5	5	6.4	8.3	7.9	7.6	7.2	7.1	6	3.8	2.8	2.1	1.1	0.4	0.2
GM0056	Zuidhorn	GM0056	Zuidhorn	NEE	387	5	18680	9305	9375	21	11	23	28	16	45	46	5	5	149	7530	28	32	40	2.5	4	2	0	0	0	0	1	8840	1.2	70	1725	790	12837	12556	282	6.4	7.1	7.4	6.8	4.5	3.8	5	6.8	7.8	7.7	7.2	6.7	6.7	6.1	3.8	2.6	1.6	1.1	0.5	0.1
GM0058	Dongeradeel	GM0058	Dongeradeel	NEE	491	5	24285	12190	12095	19	12	24	27	19	44	45	5	5	145	10195	31	32	36	2.3	3	2	0	0	0	0	1	11405	1.1	68	1995	1065	26692	16721	9971	5.9	6.2	6.4	6.3	5.6	5.1	5.3	5.6	7.6	7.4	7	6.8	6.3	5.8	4.6	3.4	2.6	1.4	0.5	0.1
GM0059	Achtkarspelen	GM0059	Achtkarspelen	NEE	392	5	28090	14265	13830	19	12	25	28	16	45	44	5	6	274	11415	27	32	40	2.4	2	1	0	0	0	0	1	13905	1.2	136	2525	1175	10398	10240	159	6.1	6.7	6.5	6	5.8	5.4	5.8	6.3	7.6	7.3	7.2	6.7	6.6	5.5	4	3	2	1.1	0.5	0.1
GM0060	Ameland	GM0060	Ameland	NEE	239	5	3525	1755	1775	19	9	24	30	19	44	45	5	6	60	1555	35	32	33	2.2	5	1	0	0	0	0	1	1630	1	28	445	255	26850	5883	20967	5.9	6.2	6.5	4.7	4.1	4.9	5.8	6.3	7.1	7.9	7.1	7.3	7.4	7.5	4.7	2.9	1.9	1.2	0.4	0.1
GM0063	het Bildt	GM0063	het Bildt	NEE	280	5	10800	5535	5260	19	12	24	29	17	46	42	6	6	117	4670	33	30	37	2.3	5	4	0	0	0	0	4	5260	1.1	57	1045	645	11648	9237	2411	5.6	6.5	6.6	6.6	4.9	4.6	5.1	6.3	7.9	7.8	7.5	7	6.7	5.8	4.1	3.2	2.1	1.2	0.4	0.1
GM0070	Franekeradeel	GM0070	Franekeradeel	NEE	641	4	20510	10300	10210	18	11	24	30	18	45	43	7	6	200	8845	32	33	34	2.3	5	3	0	0	0	0	2	9380	1.1	91	1470	950	10917	10273	644	5	6.2	6.8	5.9	4.9	5	5.1	6.2	7.6	7.7	7.2	7.5	7.2	6.2	4.2	3	2.2	1.5	0.5	0.2
GM0072	Harlingen	GM0072	Harlingen	NEE	1007	3	15845	7955	7885	17	11	23	29	20	43	42	8	6	633	7110	35	32	33	2.2	8	4	1	0	1	0	2	6690	0.9	267	1000	680	38767	2503	36263	4.9	5.7	6.1	6.4	4.6	4.6	4.8	6	7.8	7.2	7.2	7.1	7.6	7	4.7	3.5	2.4	1.4	0.6	0.1
GM0074	Heerenveen	GM0074	Heerenveen	NEE	1099	3	43515	21400	22115	17	11	25	28	19	45	42	7	6	322	19450	35	32	33	2.2	6	6	1	0	1	1	3	20825	1.1	154	3745	1910	14007	13504	503	5.2	5.8	6.2	5.9	5.3	5.2	5.4	6.3	7.8	7.6	7.1	6.7	6.4	5.8	4.4	3.6	2.7	1.8	0.7	0.2
